study,id,date,sessionID,startTime,endTime,timeToComplete,Remove,country,sourceIP(hash with salt),ageGroup6,ageGroup6Text,ageGroup3,ageGroup3Text,sex,previousVote,intendReferendumVote,ethnicity,religion,privacy,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q60,expType,adp1,adp1_num,adpRiskyChoice,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,RWAScore
study3,474,20160501,87ca644b712b2168966ce374739b1041,05/01/2016 21:49,05/01/2016 21:54,5,Keep,GB,0a943f6bff19cea8071ca32ab6b034f48fcaf0fd82d7a0660de8618d021ffe13,5,Age 55-64,3,55_and_over,Male,SNP,Remain,a,1,1,1,1,4,1,1,1,4,1,1,2,1,1,1,1,A,a,1,0,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28
study3,475,20160501,a8653533e360fa969d698bfd29040f96,05/01/2016 22:31,05/01/2016 22:41,10,Keep,FR,2791b307b41bec101272de15727664248491916907daf170fb9b9fa006b90b7b,5,Age 55-64,3,55_and_over,Male,Con,Remain,a,2,1,4,4,2,2,4,1,2,4,2,1,4,1,1,4,A,a,1,0,8,1,3,2,6,3,7,3,3,6,3,8,3,6,6,1,3,2,6,2,3,6,82
study3,476,20160501,,,05/01/2016 23:02,61188422,Keep,GR,f0c1df18e14e3b2042fb04eb6d6464b0c4f102c49896792edc57a639abbf0a68,2,Age 25-34,1,18_to_34,Male,Labour,Remain,a,1,1,1,2,2,1,1,1,4,2,1,5,2,1,1,1,B,a,1,0,8,1,7,1,8,1,3,2,3,8,2,2,2,3,2,1,3,1,1,2,3,1,56
study3,477,20160501,,,05/01/2016 23:53,61188473,Keep,GB,60362c66dbf3a4f1208716733d44d14567a3b168822a9c7844d545d33155e7f8,5,Age 55-64,3,55_and_over,Female,UKIP,Leave,a,5,3,3,5,1,3,5,3,5,5,5,3,3,1,1,3,A,b,2,1,1,9,5,9,4,4,1,9,9,1,9,1,9,1,5,9,4,9,5,9,9,4,116
study3,478,20160502,c02cfaf17a5048642a59e7e5f70c8f67,05/02/2016 1:12,05/02/2016 1:18,6,Keep,GB,2e5b26209fab7b400028fd19eb475adadf594be4cb8193a82ac2a06897ed5587,4,Age 45-54,2,35_to_54,Female,UKIP,Leave,a,2,5,1,3,3,4,4,5,4,5,5,1,3,1,4,3,A,a,1,0,6,1,3,1,3,5,6,5,6,6,4,6,4,7,5,1,1,1,6,4,2,7,83
study3,479,20160502,fd83c7ca88989585992ff1bf98762644,05/02/2016 1:12,05/02/2016 1:24,12,Keep,GB,62a5baef776120a3574967ea2441bf9495013ba01dbe731c688a28a592b47da8,5,Age 55-64,3,55_and_over,Female,UKIP,Leave,a,3,5,5,5,3,5,5,5,5,5,5,1,4,1,5,5,B,b,2,1,1,1,9,1,1,1,8,5,1,8,1,7,1,9,1,2,9,1,7,1,8,9,90
study3,480,20160502,a61bd3239c034d9cfb00160c702dfdf5,05/02/2016 1:23,05/02/2016 1:30,7,Keep,GB,8cd5a89baee0487d01c24ce7deeedeff0d8fd80a0e37835e96d27d54a335a7a6,4,Age 45-54,2,35_to_54,Female,LibDem,Remain,a,3,5,1,4,3,1,2,3,4,2,1,3,3,1,2,4,B,b,2,1,5,1,7,2,4,2,3,2,3,2,2,6,2,4,3,2,2,2,3,4,5,3,63
study3,481,20160502,ea7b965f1173db8ea59d5d6e846d9038,05/02/2016 1:19,05/02/2016 1:31,12,Keep,GB,241b978d941b2f28f21638af9b01d56a6df505a98e0da10aea4fcfbe8da9f79b,5,Age 55-64,3,55_and_over,Female,UKIP,Leave,a,2,2,2,5,5,2,1,5,5,5,5,1,2,1,1,1,B,b,2,1,6,1,6,6,6,7,7,5,8,8,2,8,4,9,3,1,8,1,6,7,8,7,117
study3,482,20160502,c31cbe6a68620abe8ff5bd6c67d26c4e,05/02/2016 1:22,05/02/2016 1:32,10,Keep,GB,60e2fc49280ae32fa644a1dfa0d3aa5ebec61781f7e5c18d4f70aba3cb8b7b22,6,Age 65+,3,55_and_over,Female,UKIP,Leave,a,1,5,5,5,5,5,5,5,5,5,1,4,3,1,1,5,B,b,2,1,2,5,1,1,2,1,8,5,1,9,1,5,3,9,1,1,9,1,7,1,5,9,80
study3,483,20160502,e7f66f33da50c73dbc86407a517bda94,05/02/2016 1:25,05/02/2016 1:36,11,Keep,GB,ddff6fe8ac70dcf1d29d9c5655bdfeae53b524c22d7e4ce0839c54f408cb5ff9,4,Age 45-54,2,35_to_54,Male,Labour,Remain,a,1,4,1,2,4,1,1,3,2,1,1,1,2,1,1,1,A,a,1,0,3,9,7,1,1,1,1,3,4,3,4,5,3,4,3,1,3,1,1,1,5,1,53
study3,484,20160502,6432c4eb61ae172589f1af9fe1fa8255,05/02/2016 1:29,05/02/2016 1:37,8,Keep,GB,329128ba589e55ed4023bc995a5e1c79fe6c930ec2d271f49031bf56508bc567,4,Age 45-54,2,35_to_54,Female,UKIP,Leave,a,4,5,4,5,4,4,5,5,4,5,5,1,2,1,2,4,B,b,2,1,2,1,8,1,3,2,2,8,8,2,8,2,8,2,8,9,2,8,8,8,8,8,113
study3,485,20160502,3fda73ab41eeb60fe9d0dae727e36f86,05/02/2016 1:27,05/02/2016 1:39,12,Keep,GB,25b1ae81db6deac9b61a9ab9aff905df465b5b39c01634c6343e3af7f643012f,5,Age 55-64,3,55_and_over,Female,Con,Leave,a,4,5,4,5,4,5,1,4,3,4,4,5,2,1,1,4,A,a,1,0,4,9,1,1,4,2,4,1,1,3,1,7,2,9,1,1,3,1,6,1,1,1,51
study3,486,20160502,e4ca178f05a333a8b630b63201cfaab9,05/02/2016 1:40,05/02/2016 1:55,15,Keep,GB,3b8639c7b5028fee929e6048b9e89ad336535b419605bac806900a2af958b2df,6,Age 65+,3,55_and_over,Female,UKIP,Leave,a,5,4,4,5,5,2,5,4,4,5,5,2,3,1,2,5,B,b,2,1,1,2,1,9,9,9,9,5,3,9,8,7,9,9,9,7,9,1,8,5,9,7,142
study3,487,20160502,36424d2b1bfe8ed1f431f77cbd2c3783,05/02/2016 1:50,05/02/2016 1:59,9,Keep,GB,2acaf0b0795a5c84fb05959c1c2ec82963f4efcb4be0fe1a4fdb490425d520ff,6,Age 65+,3,55_and_over,Female,Green,Remain,a,3,4,3,3,2,1,2,3,2,3,1,4,1,1,1,1,A,a,1,0,3,1,9,1,1,1,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,33
study3,488,20160502,c62eb4ab5e6e282478ece66de1dfb716,05/02/2016 1:56,05/02/2016 2:02,6,Keep,GB,04ecd7e209372676947d6e0b641841e4f2f3bc4a0b369b33436a5394558450cd,5,Age 55-64,3,55_and_over,Female,Labour,Remain,a,3,1,1,3,3,1,1,1,2,1,1,3,1,1,1,4,A,a,1,0,2,1,9,1,1,1,1,3,1,7,2,1,2,1,1,2,1,1,1,1,1,2,40
study3,489,20160502,,,05/02/2016 2:14,61188614,Keep,GB,3c0ed5fb7d9e689f2527979f794229ceda4a1d369a1606e366c44d7563ea930c,6,Age 65+,3,55_and_over,Female,Green,Leave,a,5,5,4,5,5,4,4,5,5,5,5,1,2,1,3,2,A,b,2,1,7,1,3,9,7,3,8,4,9,8,1,8,3,1,1,6,7,1,6,3,5,7,100
study3,490,20160502,ac2443a7d35251ceea441b44ae11f09f,05/02/2016 2:08,05/02/2016 2:16,8,Keep,GB,9024fc3c95a89f178ef64d113c9d4074df32d5aa8abd0c97d797c16c1c4b5bd0,5,Age 55-64,3,55_and_over,Female,UKIP,Leave,a,3,5,5,5,5,5,5,5,5,5,5,1,2,1,4,5,A,b,2,1,1,1,1,1,1,1,9,4,1,9,1,9,1,9,1,1,9,1,9,3,3,9,83
study3,491,20160502,acffc5c72249237b66636ccda98535ea,05/02/2016 2:04,05/02/2016 2:20,16,Keep,GB,abbeea088fa8eed26d437be5eacd552fee058df31f69a1079a40ad287bde44e4,5,Age 55-64,3,55_and_over,Female,Labour,Remain,a,5,4,2,4,5,2,3,5,5,2,4,1,1,1,3,3,A,a,1,0,3,1,3,2,5,1,7,2,3,8,3,7,5,9,1,7,9,2,7,3,3,7,94
study3,492,20160502,6099d6a2a659339a74a49346e41d4ba1,05/02/2016 2:11,05/02/2016 2:22,11,Keep,GB,9f078cfbad8d0072c6a50a6d70fcd71e66f336c806aace80c5d344016501a1fa,6,Age 65+,3,55_and_over,Female,Labour,Remain,a,3,3,1,1,1,1,1,1,5,1,1,4,2,1,1,1,A,b,2,1,1,1,9,1,1,1,1,2,8,1,1,1,1,1,2,1,1,1,1,2,5,1,42
study3,493,20160502,0fff8d57affcd6f450031f2439de738c,05/02/2016 2:15,05/02/2016 2:25,10,Keep,GB,45e87d40975c0e82d60a52e0e56a96ca6874fe7822c4ea2bc53e3f5efa9ad4c6,6,Age 65+,3,55_and_over,Female,Con,Leave,a,4,5,4,4,4,4,4,5,5,5,4,3,2,1,3,4,A,a,1,0,7,1,4,4,5,5,5,3,8,5,5,8,5,7,4,5,2,1,6,4,4,4,94
study3,494,20160502,12ac772160f591838376627ded5cae38,05/02/2016 2:23,05/02/2016 2:29,6,Keep,GB,ee09f93c914549e0609665b8023f2912fe97c5de4874b20017ef79509cbf2c19,5,Age 55-64,3,55_and_over,Female,Labour,Remain,a,3,1,1,1,2,1,1,1,4,3,1,2,1,1,1,1,B,b,2,1,1,1,9,1,1,1,1,3,1,1,1,5,1,6,1,1,7,1,1,1,1,1,45
study3,495,20160502,c761efed44c639aaee22868eb473825b,05/02/2016 2:29,05/02/2016 2:35,6,Keep,GB,45e87d40975c0e82d60a52e0e56a96ca6874fe7822c4ea2bc53e3f5efa9ad4c6,6,Age 65+,3,55_and_over,Female,Con,Leave,a,4,5,4,4,4,4,4,5,3,5,5,3,2,2,4,5,B,a,1,0,5,1,5,4,4,4,8,2,4,8,4,9,5,6,4,6,8,1,8,3,4,8,105
study3,496,20160502,53333a3b55a91635b96c6d84eb42d6fb,05/02/2016 2:48,05/02/2016 2:58,10,Keep,GB,810f39435f612286a63aa2a6a5ad406b5431355045efe8b60cf3ecb702d8716b,4,Age 45-54,2,35_to_54,Female,Labour,Remain,a,3,4,1,1,1,1,1,4,1,1,1,1,3,1,1,1,A,a,1,0,2,1,9,1,2,1,1,1,3,1,1,6,9,1,3,1,1,1,1,1,5,1,50
study3,497,20160502,ed33db4cc0afffee606f9c5255e34660,05/02/2016 2:48,05/02/2016 2:59,11,Keep,GB,d708f1f701715df13187094273ea4277734d6d3927848063c17e2f5ac2afee4e,6,Age 65+,3,55_and_over,Female,NoVote,Leave,a,5,4,2,5,2,1,4,5,5,5,5,1,2,1,4,3,A,b,2,1,2,2,3,4,2,6,8,2,2,6,2,5,9,8,2,8,9,3,7,1,4,8,99
study3,498,20160502,896ded1b92a305be22889f220125f3fd,05/02/2016 2:54,05/02/2016 3:02,8,Keep,GB,0e411ab8c03ef59a40e78e18a3a5a9c97598a05952a057c17739c07d3c120b4a,6,Age 65+,3,55_and_over,Female,Con,Leave,a,4,5,5,5,5,5,5,4,5,5,5,3,3,1,3,5,B,b,2,1,1,1,1,2,5,2,9,2,2,9,2,9,4,9,6,1,9,1,9,1,1,9,93
study3,499,20160502,610167ec00b4c12a6a3e06135b879c70,05/02/2016 3:00,05/02/2016 3:13,13,Keep,GB,29242b313e2d5c3336846c5696d552af9f8a842c93cfad127482cee6a169245e,6,Age 65+,3,55_and_over,Female,UKIP,Leave,a,4,5,5,5,5,5,5,5,5,5,5,2,5,2,4,5,A,a,1,0,1,1,9,1,1,9,9,1,1,9,1,9,1,9,3,2,7,1,6,1,1,1,82
study3,500,20160502,e3aaf7497e7f02b11536efed60328078,05/02/2016 3:13,05/02/2016 3:22,9,Keep,GB,7ca56919d76a58947a6f02a5b3e307a921c0bf3d027180d27d8c8b0c75e6cba6,5,Age 55-64,3,55_and_over,Female,Green,Leave,a,2,3,2,4,4,4,4,4,5,4,4,2,4,1,2,4,B,b,2,1,2,1,8,1,1,1,2,1,2,5,2,5,7,4,7,3,3,1,4,2,2,3,64
study3,501,20160502,65129bc38f7cce779fea5cecdab65a6e,05/02/2016 3:19,05/02/2016 3:32,13,Keep,GB,7447d985290935e3671316c444ee4ae1a8014cbbde94483c6f723bb3c9792a95,6,Age 65+,3,55_and_over,Female,NoVote,Leave,a,3,5,4,4,4,3,5,5,3,5,5,3,4,2,2,5,B,a,1,0,7,1,1,2,7,3,7,2,2,9,2,9,2,8,2,8,8,1,7,4,4,8,96
study3,502,20160502,36e786667e2e8d6a30becc28380381a9,05/02/2016 3:28,05/02/2016 3:35,7,Keep,GB,3b4b5edb7e249544ee11178276929bbeb2181bfcc68f122983cd43de1a90e043,5,Age 55-64,3,55_and_over,Female,LibDem,Remain,a,3,5,1,2,3,1,1,4,3,3,1,2,1,1,1,3,B,b,2,1,5,1,9,3,4,7,1,1,1,3,1,4,4,4,3,1,3,1,2,1,5,1,59
study3,503,20160502,d226d09597fe6f883f80b3909d49ca59,05/02/2016 3:29,05/02/2016 3:36,7,Keep,GB,48e520216c24af126e0725501377fd197c51134e4dde39ea37e310df33810c3d,6,Age 65+,3,55_and_over,Female,LibDem,Leave,a,3,4,2,5,4,5,5,5,5,5,4,3,3,1,2,4,B,b,2,1,9,9,5,9,7,9,3,9,5,3,9,1,9,2,5,2,7,9,6,9,7,7,123
study3,504,20160502,10b7c37982e4bcc6955e8f11aa6e2887,05/02/2016 3:36,05/02/2016 3:40,4,Keep,GB,c7fff5a58ffce203f451bbbbdc54701a97cd66519adb1c7d63b907de0d4422bf,4,Age 45-54,2,35_to_54,Female,Con,Leave,a,4,2,4,4,3,3,4,4,3,4,4,5,3,2,3,3,A,a,1,0,5,1,4,3,4,5,4,3,4,6,4,5,6,4,6,4,6,3,4,3,6,5,89
study3,505,20160502,d73176bdb9005e8b3640b6ccc42ea592,05/02/2016 3:34,05/02/2016 3:42,8,Keep,GB,6bf800795552972a1bef9caf70f5c576a05a7bee7d486e28a32aa0369bd2ebe5,5,Age 55-64,3,55_and_over,Female,Labour,Leave,a,4,3,4,4,4,4,5,3,3,5,4,1,1,1,1,3,B,a,1,0,6,1,2,1,5,1,7,2,1,2,7,4,1,4,4,1,6,1,4,1,3,4,61
study3,506,20160502,3f80bddb817bb43a510c933e68e8e534,05/02/2016 3:43,05/02/2016 3:52,9,Keep,GB,37dd122334be42087bef6f70c6968c69fbdd27c4e602f3be9c04717a0ed59ed5,3,Age 35-44,2,35_to_54,Female,Labour,Remain,a,1,2,1,2,2,1,1,2,4,4,1,1,2,1,1,1,B,b,2,1,7,1,8,1,3,1,6,1,3,1,1,6,2,6,4,1,1,1,6,1,1,6,60
study3,507,20160502,0a43896371d9d5a2817e88ef27eccdd9,05/02/2016 3:52,05/02/2016 3:59,7,Keep,GB,2812486f979bd940f287af0dad5b58149c84a9e23f7b13bd6563c1add5dc8f0e,4,Age 45-54,2,35_to_54,Female,Con,Leave,a,1,5,4,5,5,5,5,5,4,5,5,2,4,2,2,5,B,b,2,1,7,1,9,2,7,1,9,5,7,4,3,6,3,9,1,1,9,1,9,2,5,9,102
study3,508,20160502,6aac0e2596b445c9c36a67094c8829a1,05/02/2016 3:56,05/02/2016 4:00,4,Keep,GB,e899f4bbc688b5b222166d50a36c51741c48f1c7d91df8e051bec2583cf83fe5,1,Age 18-24,1,18_to_34,Female,Labour,Remain,a,4,1,1,2,1,1,2,1,2,2,1,3,2,2,2,4,A,b,2,1,2,1,9,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,30
study3,509,20160502,3a8cea6d826526eb806c31c9a18858b8,05/02/2016 3:57,05/02/2016 4:08,11,Keep,GB,0c8d300b0f85885685de9e4b4366c73d131e9c9cc7e45d048fe43ef1d7ec3159,4,Age 45-54,2,35_to_54,Female,UKIP,Leave,a,4,1,5,5,4,5,5,4,5,5,4,1,3,1,1,5,A,b,2,1,4,1,5,4,4,3,6,5,5,5,2,5,4,4,5,2,5,1,3,1,1,3,73
study3,510,20160502,2f884e72dcf634696a90feb2897c7859,05/02/2016 4:06,05/02/2016 4:13,7,Keep,GB,277c4d113c4ce495c86b3e02aa7fb25e5a8a292ed5a7a4142ba4326749612679,6,Age 65+,3,55_and_over,Female,UKIP,Leave,a,4,5,5,5,5,5,5,5,5,5,5,1,5,1,1,5,A,a,1,0,1,1,9,9,5,1,9,1,1,2,9,9,9,9,1,1,1,1,1,1,9,5,93
study3,511,20160502,269e1ac392bb6cdf0a5a08e593441b0e,05/02/2016 4:23,05/02/2016 4:31,8,Keep,GB,12c2323208a09c84e3d9f0e0dbc9ba0899d50fc88aba049fd2c8276c9557facb,6,Age 65+,3,55_and_over,Female,UKIP,Leave,a,3,3,5,5,1,5,5,5,5,5,5,5,1,1,5,5,B,a,1,0,1,9,9,7,5,9,1,9,2,6,7,1,7,1,6,8,1,9,1,9,6,1,105
study3,512,20160502,d47a6a58fde99cc5f1184d919c3544cb,05/02/2016 4:25,05/02/2016 4:36,11,Keep,GB,3583ba62c82d243d5a0c0616a4253a68f85aa03652915d2f1320800bb7d7a7ca,4,Age 45-54,2,35_to_54,Female,Labour,Leave,a,3,4,4,3,4,1,3,3,2,4,4,1,4,5,2,2,B,b,2,1,5,9,5,1,3,1,6,3,4,2,5,3,2,5,5,1,3,1,1,4,1,6,62
study3,513,20160502,704a4bd314d689c0dd99547d31e60cbc,05/02/2016 4:28,05/02/2016 4:42,14,Keep,GB,1b41f61091eb7561d192b4857468797a90f9ee6edd2515e581d46e05115a80bc,2,Age 25-34,1,18_to_34,Female,SNP,Leave,a,1,1,5,5,5,5,5,5,5,5,5,1,3,1,1,3,A,a,1,0,1,1,9,1,5,1,1,5,1,5,1,5,1,1,1,1,1,1,1,1,3,1,46
study3,514,20160502,c1649538a9bdc66549a8ff3ff51fd755,05/02/2016 4:08,05/02/2016 5:05,57,Keep,GB,bf1d728dd8f5fd16a74f8dd3359653d436ac15424a3c547d8e75b41191abf905,6,Age 65+,3,55_and_over,Female,Con,Leave,a,5,5,3,4,5,4,4,4,3,4,4,2,4,2,3,4,A,a,1,0,5,3,7,5,5,5,6,1,5,2,3,6,8,3,8,1,1,6,2,4,4,5,87
study3,515,20160502,87e250d2ed4a038fe49ec68b30cc914a,05/02/2016 5:20,05/02/2016 5:23,3,Keep,GB,d98356e147b7325e36a5ee84787b80fa88aa9f090a3ad02c25684570dbdeb0d6,5,Age 55-64,3,55_and_over,Female,LibDem,Leave,a,3,2,4,5,4,2,4,3,2,4,4,2,2,1,3,3,B,b,2,1,3,1,5,1,4,1,4,1,1,6,1,5,1,6,2,4,7,1,6,1,1,4,62
study3,516,20160502,aae1eca4f4f7918eeb5e95444cd84d74,05/02/2016 6:18,05/02/2016 6:30,12,Keep,GB,ce575b006b0311b0e61d4aa35091d4b1ce63b64f77facde5dc28ec69b498ce55,5,Age 55-64,3,55_and_over,Female,Green,Remain,a,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1,3,A,b,2,1,2,1,9,1,2,9,1,1,3,1,1,5,2,1,5,1,1,1,1,1,1,1,48
study3,517,20160502,bfe86ed2f8c9714eadfc526c8e1502b5,05/02/2016 6:51,05/02/2016 7:10,19,Keep,GB,0ee1221f054ddc9ded1ecb5431697eeb2b175e3c0464139d6081f1eee7e17b13,3,Age 35-44,2,35_to_54,Female,Green,Leave,a,3,1,1,5,5,3,5,3,4,4,2,3,1,1,1,3,A,b,2,1,1,1,9,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,5,1,36
study3,518,20160502,dc41744aac64e5cfbd0f3217c689c5b9,05/02/2016 7:24,05/02/2016 7:42,18,Keep,GB,69b8d5546d3864b36fd52716c4e898233549fd4e35349a557ae410298abfa4e5,6,Age 65+,3,55_and_over,Female,Labour,Remain,a,1,3,3,4,2,5,3,1,1,2,4,1,2,1,1,4,B,b,2,1,4,1,7,9,4,8,3,5,1,9,5,5,1,5,2,1,5,2,5,2,2,9,90
study3,519,20160502,ce7b9dc4f7f04b9191bf1291b89f3f50,05/02/2016 7:39,05/02/2016 7:49,10,Keep,GB,d4ff9fc6c910a4d1c6720772f9f661e0a20523eb4057c51d14c28a7099eb51ad,5,Age 55-64,3,55_and_over,Female,Labour,Remain,a,2,2,1,2,2,1,2,1,2,2,1,3,2,1,1,1,A,a,1,0,3,1,9,1,2,1,1,5,3,1,2,2,1,1,3,1,1,1,1,1,1,2,40
study3,520,20160502,b0f74c0f6c8b42de0a1bb6796aa76c32,05/02/2016 8:13,05/02/2016 8:20,7,Keep,GB,5e00db12c046ec69a96850a98d4d2724b544491660b9ae11d2574f38b9bfe7e4,4,Age 45-54,2,35_to_54,Female,LibDem,Leave,a,4,2,2,2,5,2,4,4,5,5,4,4,4,1,2,4,A,a,1,0,8,1,9,1,9,1,9,1,1,8,1,3,1,8,1,1,1,1,6,2,2,2,68
study3,521,20160502,26dc8a68d92b73853a9ea7cb78987e66,05/02/2016 8:37,05/02/2016 8:47,10,Keep,GB,5f39f6d14ef43ad0f2b342ead34810218e8a1d0a5999c07ead1585cf38db16e0,4,Age 45-54,2,35_to_54,Female,UKIP,Leave,a,3,4,3,5,3,3,5,5,5,5,3,3,3,3,3,3,A,b,2,1,1,1,1,1,1,1,9,5,5,5,3,9,5,9,5,5,6,2,4,1,5,5,87
study3,522,20160502,c85f016d950ad685aede2fd4eb30f776,05/02/2016 9:35,05/02/2016 9:40,5,Keep,GB,1ed249052edea1e0526ae3b1fe474dbdca1e1c43e6d80e662667f49ac8d5ca7e,4,Age 45-54,2,35_to_54,Female,Labour,Remain,a,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,A,b,2,1,3,1,9,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,34
study3,523,20160502,109f9ea60f46f6bce43c8adf66044ad6,05/02/2016 9:48,05/02/2016 10:01,13,Keep,GB,021510a04f5e9d6546132e410ef21ffe8c5e1881835f10c2ebbce08d409f62c0,4,Age 45-54,2,35_to_54,Female,NoVote,NoVote,a,4,4,4,4,3,3,3,4,4,4,3,3,3,2,3,4,A,b,2,1,3,5,4,5,4,5,6,5,5,5,4,7,4,6,6,5,5,4,5,5,5,4,99
study3,524,20160502,74e36844a8ba94b22ce08926e8082b0e,05/02/2016 10:02,05/02/2016 10:11,9,Keep,GB,9112e3e9e53163f777e83812883e9bb19a557b4bacaf25b08d2500179f16ef4c,5,Age 55-64,3,55_and_over,Female,Labour,Remain,a,1,3,1,3,3,1,3,1,3,3,1,1,1,1,1,3,B,b,2,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9,40
study3,525,20160502,b65991abd1a4c297bc79d2599b2982e6,05/02/2016 10:05,05/02/2016 10:15,10,Keep,GB,30aad652f437911cb40d3d5fd37afb711a990ca710c066e6b190361816046c56,6,Age 65+,3,55_and_over,Female,Labour,Leave,a,5,5,5,5,5,4,5,5,5,5,5,1,2,1,1,4,B,a,1,0,9,9,3,1,9,1,4,1,1,9,1,8,4,9,1,1,9,1,9,2,1,1,76
study3,526,20160502,651d0a82eb36bc78b70f59fe5f8c3b18,05/02/2016 10:15,05/02/2016 10:22,7,Keep,GB,cd028aa32816bb8f4d756beb7ec36ec37ba8c85743429c6b6e3f3585d9ebc7d4,4,Age 45-54,2,35_to_54,Female,Green,Remain,a,1,1,1,3,3,1,1,1,4,2,1,2,2,2,5,2,B,b,2,1,2,1,9,1,2,1,1,4,1,1,1,1,1,1,2,1,1,1,1,3,1,1,35
study3,527,20160502,d9180637235aa3bc15bb255678f10d44,05/02/2016 10:24,05/02/2016 10:33,9,Keep,GB,adc100ba41467f110bc1f98e9ab7a73d19ef463fad19389db8eef4f2b1807276,5,Age 55-64,3,55_and_over,Female,Labour,Leave,a,3,5,5,5,3,4,5,3,5,5,4,2,3,3,2,5,A,b,2,1,5,1,5,2,5,5,8,5,5,6,2,8,5,6,4,5,5,1,5,5,5,5,97
study3,528,20160502,432ba54125bfc27e5a2382fb25e3b441,05/02/2016 10:33,05/02/2016 10:38,5,Keep,GB,ca0ec0b976c7bd5675dd182215c3a71d6993796a8ae4ab19578cf833f9acf56c,4,Age 45-54,2,35_to_54,Female,Labour,Remain,a,1,5,1,1,1,1,1,1,1,1,1,3,1,1,1,1,B,b,2,1,1,1,9,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,2,1,1,32
study3,529,20160502,e9b9a5672945e106d364d67d2ff45418,05/02/2016 10:09,05/02/2016 10:49,40,Keep,GB,b66c8c997b04c751e47ca9739bc7ed5f7343c7ba7502caada0804f10f603a224,5,Age 55-64,3,55_and_over,Female,UKIP,Leave,a,5,2,5,5,5,5,5,5,5,5,4,1,5,1,1,5,A,b,2,1,1,1,4,9,3,4,7,6,9,9,2,9,9,9,9,6,3,1,5,9,9,1,123
study3,530,20160502,3d0be7f5005cae353f4d2f590ce4cc83,05/02/2016 10:41,05/02/2016 10:49,8,Keep,GB,cda00b7145ad7069351c0167aac742081f8e22154e53cd12162164d2de35e3b4,4,Age 45-54,2,35_to_54,Female,UKIP,Leave,a,2,5,3,3,2,3,3,5,4,5,5,5,1,2,5,5,B,b,2,1,1,1,9,1,9,4,9,1,1,9,1,9,1,9,1,3,9,1,9,1,5,9,101
study3,531,20160502,3ec705907e501e60d6f7a4b4f85f476d,05/02/2016 10:46,05/02/2016 10:54,8,Keep,GB,08beae52c0955b2af242edb9aa53c6612395940cfa7541572413beaf36fa540c,4,Age 45-54,2,35_to_54,Female,Labour,Remain,a,3,3,1,1,1,1,1,1,3,2,1,3,1,1,1,3,A,b,2,1,1,1,9,1,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,33
study3,532,20160502,edafaa3dfa98e6d3effe0d9c2157912a,05/02/2016 10:46,05/02/2016 10:54,8,Keep,GB,672f37b7786bf5e7da2db5302ecff30ad99289b90c30956774dd624175134d90,5,Age 55-64,3,55_and_over,Female,Con,Remain,a,3,5,4,4,3,4,3,4,4,5,4,5,4,2,2,4,A,b,2,1,6,1,2,2,7,7,7,5,2,6,3,6,2,7,5,3,7,1,2,2,3,6,85
study3,533,20160502,c440330fe9d2efe1dbcbcbcf9b5fb0d5,05/02/2016 10:48,05/02/2016 10:59,11,Keep,GB,b290f5c828d75de5e1dc759c951da1797471ea464d41af04eebca21efbaaa990,5,Age 55-64,3,55_and_over,Female,UKIP,Leave,a,4,5,5,5,5,1,5,5,3,5,5,1,5,1,1,5,A,b,2,1,1,1,6,1,4,2,3,6,1,5,1,8,3,7,9,1,9,1,1,1,7,1,77
study3,534,20160502,47e2e15e8d1a0d0be28b666b599a0688,05/02/2016 10:55,05/02/2016 11:01,6,Keep,GB,8ab4877b6eda9008c088dbbe421b35831851e1bebb43872e5f23a849e548800b,3,Age 35-44,2,35_to_54,Female,Green,Remain,a,1,2,1,3,2,1,2,4,3,2,1,2,2,1,1,2,A,a,1,0,3,1,9,1,2,2,1,1,2,1,1,3,2,1,7,1,1,1,1,1,1,3,42
study3,535,20160502,31e42276a2669923366dbb86e36bc06d,05/02/2016 10:49,05/02/2016 11:04,15,Keep,GB,ebc4ee91a1d824018ac643fb9329bdc1cac73fd0530d1a00f80e2b99eb798175,6,Age 65+,3,55_and_over,Female,Con,Leave,a,4,3,3,4,5,2,4,5,5,5,5,4,3,1,1,4,B,a,1,0,3,1,9,1,8,3,9,2,1,7,2,8,1,8,4,1,5,1,1,1,4,1,77
